    n    m KdN         V         E      orig       new       opt  ratio    TC1    TC2    TC3
    5    5   0     65.75    533.18      0.32      0.30      0.29   0.90   0.33   0.21   0.46
    5    5   1     15.27     30.85      0.01      0.01      0.01   1.16   0.32   0.27   0.40
    5    6   0     65.75    651.66      0.36      0.38      0.36   1.00   0.34   0.22   0.44
    5    6   1     15.27     32.87      0.01      0.01      0.01   1.14   0.33   0.27   0.40
   10   22   0    125.05   2662.68      0.79      0.84      0.90   1.14   0.31   0.15   0.54
   10   22   1     23.40     83.40      0.02      0.02      0.02   1.05   0.37   0.16   0.47
   10   30   0    125.05   3551.12      1.15      1.33      1.34   1.16   0.31   0.15   0.54
   10   30   1     23.40    106.63      0.03      0.03      0.03   1.09   0.36   0.17   0.47
   15   52   0    215.61   6844.80      1.36      1.96      2.55   1.88   0.32   0.15   0.53
   15   52   1     38.10    194.38      0.05      0.04      0.04   0.95   0.36   0.22   0.42
   15   70   0    215.61   9590.20      2.11      2.25      2.16   1.03   0.32   0.16   0.52
   15   70   1     38.10    253.06      0.05      0.06      0.06   1.03   0.36   0.22   0.42
   20   95   0    270.39  12688.56      2.34      2.24      2.30   0.98   0.38   0.16   0.46
   20   95   1     48.31    342.46      0.06      0.07      0.07   1.12   0.36   0.20   0.44
   20  126   0    270.39  16965.94      3.35      3.48      3.68   1.10   0.38   0.16   0.46
   20  126   1     48.31    444.42      0.08      0.08      0.08   1.01   0.36   0.20   0.44
   25  150   0    385.21  24700.83      4.47      4.21      4.10   0.92   0.33   0.15   0.52
   25  150   1     66.66    649.07      0.09      0.10      0.09   1.06   0.31   0.18   0.51
   25  200   0    385.21  33496.08      6.47      6.54      6.30   0.97   0.33   0.15   0.52
   25  200   1     66.66    863.50      0.11      0.13      0.13   1.10   0.31   0.18   0.51
   30  217   0    435.45  32253.17      5.18      5.56      4.97   0.96   0.35   0.18   0.47
   30  217   1     75.21    845.08      0.09      0.10      0.10   1.08   0.33   0.19   0.48
