kind;n;m;sum_n;AgeLatency;IterationCount;ExpansionVertex;ExpansionEdges;LowerBounds;UpperBounds;gen_time;sp_time
3;100;1980;2319;2416;6;"[102,1069,1196,1200,1223,1242]";"[1985,23258,26313,26384,26881,27239]";"[877,2416,2416,2416,2416,2416]";"[2697,2508,2436,2426,2416,2416]";157.00;228.00
3;100;2475;2319;2648;3;"[102,1169,1399]";"[2479,33160,37398]";"[1050,2648,2648]";"[2912,2724,2648]";77.00;111.00
3;100;3300;2319;2986;4;"[102,1610,1755,1873]";"[3302,58568,61805,64074]";"[1250,2986,2986,2986]";"[3440,3172,3063,2986]";251.00;355.00
3;200;7960;5071;5356;6;"[202,1643,2015,2338,2537,2546]";"[7963,73900,90220,106200,116821,117224]";"[1970,5356,5356,5356,5356,5356]";"[6205,5590,5459,5425,5366,5356]";875.00;991.00
3;200;9950;5071;5756;8;"[202,2281,2794,2931,2998,3146,3156,3255]";"[9953,122839,155327,165115,170151,180230,180675,186271]";"[2196,5756,5756,5756,5756,5756,5756,5756]";"[6654,6081,5910,5840,5827,5766,5759,5756]";2231.00;2401.00
3;200;13266;5071;7456;5;"[202,2935,3508,3743,3763]";"[13268,218243,254333,269764,271069]";"[3196,7456,7456,7456,7456]";"[8373,7791,7575,7516,7456]";2083.00;2106.00
3;300;17940;7419;9050;5;"[302,2210,2812,2825,2924]";"[17944,168492,211918,212826,220288]";"[3572,9050,9050,9050,9050]";"[10013,9319,9120,9070,9050]";1433.00;1508.00
3;300;22425;7419;9850;5;"[302,2152,3232,3605,3803]";"[22429,207541,305366,336391,352273]";"[4100,9850,9850,9850,9850]";"[11171,10190,9985,9888,9850]";2675.00;2725.00
3;300;29900;7419;11250;5;"[302,3984,4859,5109,5265]";"[29903,464578,547276,566173,571649]";"[4997,11250,11250,11250,11250]";"[12781,11606,11420,11267,11250]";6024.00;5468.00
3;400;31920;11016;10145;9;"[402,4217,4751,5044,5205,5322,5425,5493,5497]";"[31924,420172,466822,497327,516608,528786,538254,543802,544162]";"[3703,10145,10145,10145,10145,10145,10145,10145,10145]";"[11576,10579,10414,10330,10259,10206,10200,10185,10145]";10437.00;9215.00
3;400;39900;11016;11642;7;"[402,5274,6530,6856,7032,7235,7254]";"[39904,621774,730563,766779,786628,802611,803542]";"[4552,11582,11642,11642,11642,11642,11642]";"[13588,12357,11937,11761,11730,11647,11642]";12100.00;10399.00
3;400;53200;11016;12992;7;"[402,6939,8238,8427,8512,8660,8759]";"[53204,1039814,1195655,1210796,1221672,1235174,1253994]";"[5452,12992,12992,12992,12992,12992,12992]";"[15286,13874,13225,13091,13056,12992,12992]";20888.00;17736.00
3;500;49900;11765;12898;10;"[502,3309,4366,4911,5286,5363,5372,5376,5475,5525]";"[49905,365890,487026,544710,574444,582093,582799,583129,590042,594311]";"[6460,12898,12898,12898,12898,12898,12898,12898,12898,12898]";"[14883,13771,13322,13118,12989,12938,12938,12927,12900,12898]";13615.00;11327.00
3;500;62375;11765;15398;9;"[502,4693,5857,6142,6318,6417,6466,6508,6536]";"[62379,652223,801215,830796,847419,851973,854747,857626,859612]";"[7460,15298,15398,15398,15398,15398,15398,15398,15398]";"[17397,15909,15611,15510,15446,15442,15408,15403,15398]";19849.00;16434.00
3;500;83166;11765;18518;5;"[502,6649,7906,8048,8125]";"[83169,1163718,1353155,1380607,1398330]";"[8760,18518,18518,18518,18518]";"[20952,18959,18606,18572,18518]";15272.00;12867.00
