kind;n;m;sum_n;AgeLatency;IterationCount;ExpansionVertex;ExpansionEdges;LowerBounds;UpperBounds;gen_time;sp_time
3;50;490;1228;1267;4;"[52,533,793,802]";"[496,4183,6674,6766]";"[530,1267,1267,1267]";"[1382,1319,1277,1267]";18.00;19.00
3;50;490;1156;1818;5;"[52,517,549,568,667]";"[495,5889,6265,6510,7067]";"[845,1818,1818,1818,1818]";"[1936,1893,1848,1839,1818]";13.00;17.00
3;50;490;1433;1523;3;"[52,485,645]";"[495,6489,8269]";"[622,1523,1523]";"[1734,1592,1523]";7.00;10.00
3;50;490;1406;1851;3;"[52,244,492]";"[494,2667,5892]";"[1200,1851,1851]";"[2039,1923,1851]";4.00;4.00
3;50;490;1650;1352;5;"[52,684,693,793,911]";"[494,9154,9248,9967,11106]";"[555,1352,1352,1352,1352]";"[1640,1412,1401,1392,1352]";21.00;29.00
3;50;490;1274;940;4;"[52,300,441,490]";"[495,3527,5541,6011]";"[411,940,940,940]";"[1127,1043,970,940]";6.00;9.00
3;50;490;1247;1500;3;"[52,626,801]";"[494,8162,8907]";"[720,1500,1500]";"[1699,1567,1500]";9.00;11.00
3;50;490;1291;1340;3;"[52,469,478]";"[496,6324,6463]";"[721,1340,1340]";"[1546,1390,1340]";5.00;8.00
3;50;490;1588;1201;3;"[52,281,330]";"[493,3848,4594]";"[513,1201,1201]";"[1275,1213,1201]";3.00;5.00
3;50;490;1249;1348;5;"[52,439,526,545,563]";"[499,5820,6515,6727,6873]";"[803,1343,1343,1343,1348]";"[1459,1409,1353,1348,1348]";12.00;16.00
3;50;490;1726;1241;4;"[52,428,494,593]";"[497,5402,6324,7016]";"[424,1241,1241,1241]";"[1413,1317,1283,1241]";9.00;12.00
3;50;490;1462;803;5;"[52,631,842,851,852]";"[494,7916,9545,9643,9654]";"[254,785,803,803,803]";"[895,834,813,813,803]";23.00;28.00
3;50;490;1472;1225;4;"[52,485,638,737]";"[493,7340,9903,12199]";"[666,1223,1225,1225]";"[1476,1277,1225,1225]";15.00;21.00
3;50;490;1481;1175;4;"[52,343,361,362]";"[496,4412,4667,4679]";"[847,1175,1175,1175]";"[1374,1195,1175,1175]";6.00;8.00
3;50;490;1231;1667;4;"[52,522,716,765]";"[495,6268,8504,9122]";"[429,1667,1667,1667]";"[1749,1689,1669,1667]";14.00;17.00
3;50;490;1070;1106;4;"[52,466,508,577]";"[495,5068,5556,6437]";"[404,1106,1106,1106]";"[1345,1199,1114,1106]";8.00;10.00
3;50;490;1189;1441;4;"[52,634,744,767]";"[493,8064,8632,8766]";"[578,1441,1441,1441]";"[1638,1533,1491,1441]";15.00;18.00
3;50;490;1421;1300;3;"[52,411,532]";"[496,5503,7227]";"[770,1300,1300]";"[1449,1365,1300]";5.00;8.00
3;50;490;1383;917;5;"[52,223,449,549,598]";"[497,3283,5813,7268,7839]";"[422,917,917,917,917]";"[985,957,932,931,917]";12.00;14.00
3;50;490;1274;1610;5;"[52,701,810,819,823]";"[493,7175,7789,7865,7877]";"[999,1610,1610,1610,1610]";"[1872,1671,1660,1650,1610]";15.00;21.00
3;50;490;1272;1305;4;"[52,435,587,645]";"[494,6144,7444,8454]";"[726,1305,1305,1305]";"[1382,1330,1321,1305]";11.00;15.00
