kind;n;m;sum_n;AgeLatency;IterationCount;ExpansionVertex;ExpansionEdges;LowerBounds;UpperBounds;gen_time;sp_time
1;50;490;35665;208;8;"[52,19327,25663,26502,28119,28398,28757,29535]";"[496,201401,257982,267424,278650,281719,285542,289855]";"[70,207,207,207,208,208,208,208]";"[233,220,213,209,208,208,208,208]";11765.00;4409.00
1;50;490;31532;254;4;"[52,14704,15772,18161]";"[495,189804,200432,225296]";"[72,254,254,254]";"[288,269,258,254]";2272.00;1136.00
1;50;490;39974;246;6;"[52,12862,13679,18190,18609,21128]";"[495,194225,202721,244705,249082,276392]";"[83,246,246,246,246,246]";"[276,253,252,250,248,246]";4831.00;2309.00
1;50;490;37337;283;4;"[52,11423,12770,14868]";"[494,151883,164681,183419]";"[116,281,283,283]";"[311,289,285,283]";1514.00;920.00
1;50;490;45049;244;4;"[52,20142,22350,26001]";"[494,255051,284986,318126]";"[80,244,244,244]";"[277,254,252,244]";4418.00;1658.00
1;50;490;36904;211;5;"[52,11650,16419,18456,20049]";"[495,162035,228946,248784,255865]";"[83,206,211,211,211]";"[231,217,214,214,211]";3843.00;1779.00
1;50;490;35627;270;5;"[52,9776,19780,22744,25766]";"[494,129866,264800,284655,303703]";"[72,270,266,270,270]";"[304,284,279,272,270]";5107.00;2012.00
1;50;490;12203;229;5;"[52,4276,6216,6383,6502]";"[496,60109,86064,87337,88287]";"[83,229,229,229,229]";"[260,232,231,229,229]";582.00;555.00
1;50;490;43646;213;3;"[52,11009,12268]";"[493,173653,192514]";"[82,213,213]";"[229,213,213]";886.00;585.00
1;50;490;35360;201;3;"[52,10989,16327]";"[499,161056,241215]";"[73,198,201]";"[221,204,201]";1167.00;652.00
1;50;490;44477;225;6;"[52,12732,14494,14773,17292,18410]";"[497,175787,198663,200895,246658,256675]";"[80,225,225,225,225,225]";"[251,239,228,227,226,225]";4268.00;2052.00
1;50;490;34928;204;4;"[52,15978,21377,21880]";"[494,212711,256964,260668]";"[53,204,204,204]";"[225,209,205,204]";3508.00;1429.00
1;50;490;40216;211;5;"[52,11039,11836,14355,17377]";"[493,190233,219659,271515,294773]";"[91,211,211,211,211]";"[229,214,212,211,211]";2933.00;1818.00
1;50;490;37911;206;4;"[52,10459,10773,13164]";"[496,156998,160522,197480]";"[71,206,206,206]";"[233,208,206,206]";1500.00;889.00
1;50;490;38763;262;5;"[52,18280,21158,22080,22709]";"[495,230359,272509,282823,289910]";"[80,258,262,262,262]";"[292,278,266,263,262]";5192.00;2154.00
1;50;490;31976;205;5;"[52,17551,20135,21797,22373]";"[495,223007,245075,258716,263700]";"[55,199,205,205,205]";"[237,215,211,205,205]";4646.00;2051.00
1;50;490;34601;263;7;"[52,19423,20820,21973,22287,24806,25165]";"[493,260811,270625,279044,281905,293380,294986]";"[80,256,263,263,263,263,263]";"[296,273,270,267,265,263,263]";8634.00;3734.00
1;50;490;40884;216;6;"[52,12012,13919,15681,16309,17567]";"[496,186235,208338,229479,234817,241590]";"[86,216,216,216,216,216]";"[243,223,222,219,217,216]";3871.00;2200.00
1;50;490;36128;187;4;"[52,9423,13574,15531]";"[497,148268,200707,227392]";"[61,186,187,187]";"[204,193,188,187]";1637.00;1023.00
1;50;490;38840;243;6;"[52,17706,24465,26038,26631,27619]";"[493,233584,270108,285413,288713,294156]";"[109,243,243,243,243,243]";"[276,258,253,245,245,243]";7231.00;2989.00
1;50;490;36208;202;4;"[52,13755,16841,17120]";"[494,201704,231403,233328]";"[68,202,202,202]";"[216,209,205,202]";2430.00;1229.00
1;50;490;30054;241;10;"[52,15722,18134,18448,18699,19202,19516,19935,20294,20653]";"[496,228231,263870,265824,267581,270430,272663,273946,275542,278584]";"[80,241,241,241,241,241,241,241,241,241]";"[270,256,252,252,249,248,247,244,242,241]";10631.00;5338.00
1;50;490;41606;192;5;"[52,14055,18830,24789,25068]";"[495,192684,234436,290382,291805]";"[69,188,192,192,192]";"[216,196,196,196,192]";5155.00;2032.00
1;50;490;32978;216;3;"[52,16357,17615]";"[494,194468,209123]";"[61,216,216]";"[247,220,216]";1400.00;696.00
1;50;490;46369;158;8;"[52,21827,22467,25265,29297,30376,31005,31424]";"[497,314556,330308,349483,388061,401694,405244,407928]";"[64,158,158,158,158,158,158,158]";"[177,170,169,167,165,162,162,158]";15365.00;5687.00
1;50;490;43376;201;3;"[52,16686,17945]";"[494,238429,255365]";"[51,201,201]";"[223,205,201]";1950.00;865.00
1;50;490;38479;179;3;"[52,9100,11899]";"[495,144957,176647]";"[57,179,179]";"[200,182,179]";768.00;527.00
1;50;490;30881;276;5;"[52,15622,17510,18349,19608]";"[495,206258,221359,228665,232817]";"[65,276,276,276,276]";"[301,280,277,276,276]";4097.00;1812.00
1;50;490;29044;245;5;"[52,10964,12582,12861,13490]";"[495,159469,176798,179337,186380]";"[73,245,245,245,245]";"[273,254,248,245,245]";2289.00;1341.00
1;50;490;30664;203;4;"[52,11005,11570,12073]";"[496,154889,162011,168183]";"[57,203,203,203]";"[240,210,205,203]";1276.00;841.00
1;50;490;39833;214;6;"[52,15159,19937,24913,27791,28042]";"[495,193278,231554,280663,317362,318617]";"[85,206,206,214,214,214]";"[235,228,224,217,214,214]";8309.00;2808.00
