kind;n;m;sum_n;AgeLatency;IterationCount;ExpansionVertex;ExpansionEdges;LowerBounds;UpperBounds;gen_time;sp_time
1;5;4;32;21;3;"[7,18,21]";"[9,44,47]";"[13,21,21]";"[21,21,21]";0.00;0.00
1;5;4;198;37;2;"[7,166]";"[8,305]";"[10,37]";"[37,37]";0.00;1.00
1;5;4;251;42;2;"[7,46]";"[7,71]";"[19,42]";"[48,42]";0.00;0.00
1;5;4;49;28;2;"[7,17]";"[8,28]";"[20,28]";"[30,28]";0.00;0.00
1;5;4;237;17;2;"[7,31]";"[9,52]";"[10,17]";"[17,17]";0.00;0.00
1;5;4;16;26;2;"[7,16]";"[8,28]";"[22,26]";"[28,26]";0.00;0.00
1;5;4;1093;21;2;"[7,63]";"[9,125]";"[13,21]";"[21,21]";0.00;0.00
1;5;4;27;8;2;"[7,12]";"[9,23]";"[5,8]";"[8,8]";0.00;0.00
1;5;4;247;23;2;"[7,22]";"[9,39]";"[21,23]";"[23,23]";0.00;0.00
1;5;4;33;21;2;"[7,27]";"[8,46]";"[11,21]";"[21,21]";0.00;0.00
1;5;4;31;28;2;"[7,9]";"[8,14]";"[13,28]";"[28,28]";0.00;0.00
1;5;4;23;9;2;"[7,9]";"[9,15]";"[6,9]";"[9,9]";0.00;0.00
1;5;4;32;27;2;"[7,27]";"[8,48]";"[17,27]";"[27,27]";0.00;0.00
1;5;4;191;25;2;"[7,60]";"[8,91]";"[9,25]";"[27,25]";0.00;0.00
1;5;4;341;26;2;"[7,27]";"[9,52]";"[13,26]";"[26,26]";0.00;0.00
1;5;4;331;51;2;"[7,214]";"[7,347]";"[23,51]";"[54,51]";0.00;0.00
1;5;4;349;17;2;"[7,12]";"[9,20]";"[10,17]";"[17,17]";0.00;0.00
1;5;4;77;20;2;"[7,18]";"[9,41]";"[13,20]";"[20,20]";0.00;0.00
1;5;4;125;26;2;"[7,24]";"[8,42]";"[20,26]";"[26,26]";0.00;0.00
1;5;4;383;29;2;"[7,56]";"[8,100]";"[17,29]";"[29,29]";0.00;0.00
1;5;4;247;23;1;"[7]";"[9]";"[23]";"[23]";0.00;0.00
1;5;4;39;26;3;"[7,14,17]";"[7,22,28]";"[24,26,26]";"[26,26,26]";0.00;0.00
1;5;4;53;31;2;"[7,35]";"[9,74]";"[15,31]";"[31,31]";0.00;0.00
1;5;4;139;28;2;"[7,24]";"[9,53]";"[19,28]";"[28,28]";0.00;0.00
1;5;4;74;15;2;"[7,10]";"[9,15]";"[12,15]";"[15,15]";0.00;0.00
1;5;4;221;33;2;"[7,90]";"[9,163]";"[13,33]";"[33,33]";0.00;0.00
1;5;4;748;32;2;"[7,99]";"[8,228]";"[13,32]";"[32,32]";0.00;0.00
1;5;4;19;13;3;"[7,17,20]";"[8,30,31]";"[9,13,13]";"[14,14,13]";0.00;0.00
1;5;4;34;25;2;"[7,13]";"[9,23]";"[17,25]";"[25,25]";0.00;0.00
1;5;4;178;22;2;"[7,30]";"[8,50]";"[9,22]";"[22,22]";0.00;0.00
1;5;4;159;31;2;"[7,63]";"[8,129]";"[20,31]";"[31,31]";0.00;0.00
1;5;4;41;13;2;"[7,9]";"[8,12]";"[9,13]";"[13,13]";0.00;0.00
1;5;4;521;18;2;"[7,15]";"[9,33]";"[11,18]";"[18,18]";0.00;0.00
1;5;4;50;11;2;"[7,23]";"[9,35]";"[9,11]";"[11,11]";0.00;0.00
1;5;4;28;23;2;"[7,23]";"[9,50]";"[11,23]";"[23,23]";0.00;0.00
1;5;4;41;15;2;"[7,21]";"[8,31]";"[9,15]";"[17,15]";0.00;0.00
1;5;4;79;37;2;"[7,23]";"[8,42]";"[25,37]";"[37,37]";0.00;0.00
1;5;4;436;31;2;"[7,125]";"[9,254]";"[17,31]";"[31,31]";0.00;0.00
1;5;4;23;12;2;"[7,17]";"[8,28]";"[7,12]";"[12,12]";0.00;0.00
1;5;4;137;38;2;"[7,51]";"[7,92]";"[16,38]";"[38,38]";0.00;0.00
1;5;4;44;18;2;"[7,20]";"[8,39]";"[12,18]";"[18,18]";0.00;0.00
1;5;4;361;30;2;"[7,68]";"[9,117]";"[10,30]";"[30,30]";0.00;0.00
1;5;4;97;27;2;"[7,29]";"[9,61]";"[14,27]";"[27,27]";0.00;0.00
1;5;4;257;26;2;"[7,87]";"[9,169]";"[20,26]";"[26,26]";0.00;0.00
1;5;4;79;24;2;"[7,47]";"[9,85]";"[15,24]";"[24,24]";0.00;0.00
1;5;4;359;37;2;"[7,152]";"[7,227]";"[14,37]";"[37,37]";0.00;0.00
1;5;4;452;23;2;"[7,22]";"[9,39]";"[11,23]";"[23,23]";0.00;0.00
1;5;4;193;19;2;"[7,8]";"[9,11]";"[10,19]";"[19,19]";0.00;0.00
1;5;4;1459;28;3;"[7,24,32]";"[9,62,70]";"[19,28,28]";"[28,28,28]";0.00;0.00
1;5;4;185;25;2;"[7,47]";"[8,109]";"[11,25]";"[25,25]";0.00;0.00
1;5;5;32;29;2;"[7,23]";"[9,41]";"[18,29]";"[29,29]";0.00;0.00
1;5;5;198;37;2;"[7,166]";"[8,339]";"[10,37]";"[37,37]";0.00;0.00
1;5;5;251;61;2;"[7,253]";"[7,386]";"[19,61]";"[67,61]";0.00;0.00
1;5;5;49;28;2;"[7,17]";"[9,31]";"[20,28]";"[30,28]";0.00;0.00
