kind;n;m;sum_n;AgeLatency;IterationCount;ExpansionVertex;ExpansionEdges;LowerBounds;UpperBounds;gen_time;sp_time
2;5;4;87;510;2;"[7,89]";"[8,161]";"[432,510]";"[510,510]";0.00;0.00
2;5;4;210;774;2;"[7,102]";"[8,213]";"[768,774]";"[774,774]";0.00;0.00
2;5;4;217;192;2;"[7,102]";"[9,389]";"[97,192]";"[192,192]";0.00;0.00
2;5;4;44;262;2;"[7,41]";"[8,105]";"[127,262]";"[266,262]";0.00;0.00
2;5;4;97;460;2;"[7,95]";"[8,184]";"[234,460]";"[460,460]";0.00;0.00
2;5;4;37;54;1;"[7]";"[8]";"[54]";"[54]";0.00;0.00
2;5;4;14;1438;1;"[7]";"[9]";"[1438]";"[1438]";0.00;0.00
2;5;4;10;63;2;"[7,9]";"[7,10]";"[40,63]";"[71,63]";0.00;0.00
2;5;4;10;15;2;"[7,12]";"[8,17]";"[14,15]";"[15,15]";0.00;0.00
2;5;4;66;288;2;"[7,11]";"[8,16]";"[240,288]";"[288,288]";0.00;0.00
2;5;4;222;1009;2;"[7,205]";"[8,503]";"[514,1009]";"[1009,1009]";0.00;0.00
2;5;4;181;371;2;"[7,65]";"[8,95]";"[197,371]";"[371,371]";0.00;0.00
2;5;4;7;23;2;"[7,9]";"[8,11]";"[23,23]";"[23,23]";0.00;0.00
2;5;4;52;429;1;"[7]";"[8]";"[429]";"[429]";0.00;0.00
2;5;4;105;645;2;"[7,10]";"[8,17]";"[429,645]";"[645,645]";0.00;0.00
2;5;4;577;1497;2;"[7,24]";"[9,60]";"[1350,1497]";"[1497,1497]";0.00;0.00
2;5;4;64;55;2;"[7,60]";"[9,114]";"[54,55]";"[55,55]";0.00;0.00
2;5;4;5;8;1;"[7]";"[9]";"[8]";"[8]";0.00;0.00
2;5;4;321;1200;2;"[7,206]";"[9,1004]";"[603,1200]";"[1200,1200]";0.00;1.00
2;5;4;75;429;1;"[7]";"[9]";"[429]";"[429]";0.00;0.00
2;5;4;14;45;2;"[7,10]";"[9,18]";"[45,45]";"[49,45]";0.00;0.00
2;5;4;63;3241;2;"[7,36]";"[9,96]";"[2197,3241]";"[3241,3241]";0.00;0.00
2;5;4;38;5254;2;"[7,30]";"[7,53]";"[5182,5254]";"[5254,5254]";0.00;0.00
2;5;4;18;723;2;"[7,18]";"[9,31]";"[483,723]";"[723,723]";0.00;0.00
2;5;4;26;135;2;"[7,20]";"[8,34]";"[69,135]";"[135,135]";0.00;0.00
2;5;4;79;176;2;"[7,11]";"[8,16]";"[98,176]";"[176,176]";0.00;0.00
2;5;4;38;7676;2;"[7,36]";"[8,95]";"[5820,7676]";"[7676,7676]";0.00;0.00
2;5;4;173;652;2;"[7,33]";"[8,80]";"[303,652]";"[652,652]";0.00;0.00
2;5;4;154;383;2;"[7,12]";"[9,18]";"[288,383]";"[383,383]";0.00;0.00
2;5;4;38;715;1;"[7]";"[9]";"[715]";"[715]";0.00;0.00
2;5;4;33;80;2;"[7,10]";"[8,17]";"[50,80]";"[80,80]";0.00;0.00
2;5;4;16;124;2;"[7,14]";"[9,30]";"[84,124]";"[124,124]";0.00;0.00
2;5;4;56;379;2;"[7,45]";"[9,114]";"[186,379]";"[379,379]";0.00;0.00
2;5;4;23;96;2;"[7,17]";"[8,26]";"[54,96]";"[96,96]";0.00;0.00
2;5;4;79;1305;2;"[7,17]";"[8,33]";"[702,1305]";"[1305,1305]";0.00;0.00
2;5;4;64;404;2;"[7,29]";"[8,52]";"[239,404]";"[404,404]";0.00;0.00
2;5;4;15;57;2;"[7,8]";"[9,11]";"[45,57]";"[57,57]";0.00;0.00
2;5;4;291;1448;2;"[7,293]";"[8,580]";"[1442,1448]";"[1448,1448]";0.00;0.00
2;5;4;26;101;2;"[7,9]";"[9,13]";"[44,101]";"[101,101]";0.00;0.00
2;5;4;9;300;2;"[7,9]";"[9,13]";"[269,300]";"[300,300]";0.00;0.00
2;5;4;15;116;2;"[7,10]";"[8,13]";"[100,116]";"[116,116]";0.00;0.00
2;5;4;476;1507;2;"[7,305]";"[9,629]";"[755,1507]";"[1507,1507]";0.00;0.00
2;5;4;10;29;2;"[7,12]";"[7,17]";"[24,29]";"[29,29]";0.00;0.00
2;5;4;441;3240;2;"[7,369]";"[8,732]";"[1800,3240]";"[3240,3240]";0.00;0.00
2;5;4;21;15;2;"[7,8]";"[8,10]";"[8,15]";"[15,15]";0.00;0.00
2;5;4;9;38;2;"[7,9]";"[8,12]";"[31,38]";"[38,38]";0.00;0.00
2;5;4;375;1300;2;"[7,8]";"[9,11]";"[864,1300]";"[1300,1300]";0.00;0.00
2;5;4;149;1241;2;"[7,56]";"[7,90]";"[540,1241]";"[1241,1241]";0.00;0.00
2;5;4;23;722;2;"[7,9]";"[9,15]";"[540,722]";"[722,722]";0.00;0.00
2;5;4;73;217;2;"[7,11]";"[9,25]";"[200,217]";"[217,217]";0.00;0.00
2;5;5;87;872;2;"[7,78]";"[8,150]";"[866,872]";"[872,872]";0.00;0.00
2;5;5;210;774;2;"[7,102]";"[9,214]";"[768,774]";"[774,774]";0.00;0.00
2;5;5;217;192;2;"[7,102]";"[9,389]";"[97,192]";"[192,192]";0.00;0.00
2;5;5;44;262;2;"[7,41]";"[9,106]";"[142,262]";"[266,262]";0.00;0.00
2;5;5;97;542;2;"[7,55]";"[9,149]";"[234,542]";"[542,542]";0.00;0.00
2;5;5;37;125;2;"[7,17]";"[8,33]";"[80,125]";"[125,125]";0.00;0.00
2;5;5;14;1438;2;"[7,10]";"[10,16]";"[1438,1438]";"[1558,1438]";0.00;0.00
2;5;5;10;63;3;"[7,9,12]";"[7,11,16]";"[40,63,63]";"[71,67,63]";0.00;0.00
2;5;5;10;15;2;"[7,12]";"[8,17]";"[14,15]";"[15,15]";0.00;0.00
2;5;5;66;533;2;"[7,50]";"[8,168]";"[251,533]";"[533,533]";0.00;0.00
2;5;5;222;1047;2;"[7,125]";"[8,324]";"[552,1047]";"[1047,1047]";0.00;0.00
2;5;5;181;371;2;"[7,65]";"[9,125]";"[197,371]";"[371,371]";0.00;0.00
2;5;5;7;39;2;"[7,9]";"[8,11]";"[24,39]";"[39,39]";0.00;0.00
2;5;5;52;429;2;"[7,30]";"[9,78]";"[429,429]";"[441,429]";0.00;0.00
2;5;5;105;645;2;"[7,10]";"[9,21]";"[429,645]";"[645,645]";0.00;0.00
2;5;5;577;2847;2;"[7,293]";"[9,1119]";"[1355,2847]";"[2847,2847]";0.00;0.00
2;5;5;64;89;2;"[7,9]";"[10,14]";"[54,89]";"[89,89]";0.00;0.00
2;5;5;5;10;1;"[7]";"[9]";"[10]";"[10]";0.00;0.00
